346076309648195584	967033308	Sun Jun 16 01:26:36 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @SharylAttkisson: CBS News confirms Sharyl Attkisson's computer hacked http://t.co/yCoa4poPl7 via @CBSNews	CAMI
346136942825574401	967033308	Sun Jun 16 05:27:32 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @mrtruthandsoul: If you pronounce "supposedly" as "supposably" go fuck right off.  HAHAHA JKJK  Let's totally go get some beers and get …	CAMI
346146732066881536	967033308	Sun Jun 16 06:06:26 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @deanmeek: Palin Slams Gang of Eight, Warns of ‘Perhaps Armed IRS Agents’ Implementing Obamacare http://t.co/KmEmKtQEzx #paperli	CAMI
346219629242355713	604607829	Sun Jun 16 10:56:06 +0000 2013	346208974728740865	389425479	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	false		#GirlsLikeUs 	@MaxZachs if I was in Stockholm I definitely would.	Lisa Quinn
346221520936374272	604607829	Sun Jun 16 11:03:37 +0000 2013			<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	false		#GirlsLikeUs 	These Fathers Day posts are poignant for me. Thinking about calling my Dad. But as he didn't contact me on my B/D last month. Why bother?	Lisa Quinn
346307378255384576	53665207	Sun Jun 16 16:44:47 +0000 2013		28944428	<a href="http://stone.com/Twittelator" rel="nofollow">Twittelator</a>	false	[40.859801,-73.926837]	Manhattan 10040	➤➤RT@OutMagazine The World Outgames in #Antwerp ths summer  ❏ http://t.co/0E1IvEK5Hk  @TGworldNews @TransEquality   #GirlsLikeUs #Latism	Brooke Cerda
346338294373707776	255822257	Sun Jun 16 18:47:38 +0000 2013			<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>	false			The happier I get, the femmier I get. =) #girlslikeus	Lily Fox
346369596506382337	604607829	Sun Jun 16 20:52:01 +0000 2013	346367282496294912	17647293	web	false		#GirlsLikeUs 	@shellzenner @ThePreatures Done. Will defo' have to play more of them now :)	Lisa Quinn
346374248203427840	967033308	Sun Jun 16 21:10:30 +0000 2013	346373915662237696	17235983	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	THANK YOU!!!!!!! :-)  mwa 💋 mwa💋  @cee_cee	CAMI
346382858782375936	967033308	Sun Jun 16 21:44:43 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @SpacePlankton: The quickest way to get into my pants is to laugh at my jokes.	CAMI
