383019253097447424	1706101310	Thu Sep 26 00:04:40 +0000 2013			web	false		Los Angeles	My boyfriend looks so cute. &lt;3 &lt;3 I'm getting less nervous about htis wedding. #boyfriend #handsome #girlslikeus http://t.co/wIsHTkNNHO	Kat Blaque	kat_blaque
383086500323139584	967033308	Thu Sep 26 04:31:53 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @Meeeech_L: Recall BOTH McCain &amp; Flake. CO did it, we can too!   @xoCAMILLAxo	CAMI 	xoCAMILLAxo
383088249050124288	967033308	Thu Sep 26 04:38:50 +0000 2013	383087571300933633	967033308	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Like America, the GOP was infiltrated by Socialists!  Nikita Kruschev wasnt lying... The Soviet Union has won!  @Meeeech_L	CAMI 	xoCAMILLAxo
383088341610405888	370833462	Thu Sep 26 04:39:12 +0000 2013			<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	false			There is a fantasy ideal of women,but most straight men dont objectify women when it comes to sex or relationships.#Girlslikeus	Eden	Edenimagica
383099619976040448	967033308	Thu Sep 26 05:24:01 +0000 2013	383099330514542592	247894847	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	LOL!!!!!!   awww Derek!    lol. @1986Fed	CAMI 	xoCAMILLAxo
383099867343486976	967033308	Thu Sep 26 05:25:00 +0000 2013	383099619976040448	967033308	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	We will get this ship turned in the right direction...   just u wait n see!   @1986Fed	CAMI 	xoCAMILLAxo
383228032863195136	564927754	Thu Sep 26 13:54:17 +0000 2013			<a href="http://www.twitter.com/trelawnyjamaica" rel="nofollow">trelawnyjamaica</a>	false		Jamaica	RT @TRANSLATINAS_NY: Photo: #GirlsLikeUs #JAMAICA ——————»» OFF TO THE @UN - THE #JAMAICAN AMBASSADOR IS THERE - I NEED TO DEMAND... http://…	Everything Jamaican	Iupdatejamaica
383257581575081985	967033308	Thu Sep 26 15:51:42 +0000 2013	383256974273425408	967033308	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	PETA is actually praising him because he is implementing a vegetarian diet for prisoners!  @Clevrgurl	CAMI 	xoCAMILLAxo
383259120821751808	967033308	Thu Sep 26 15:57:49 +0000 2013	383244377461497856	1134704112	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	But it's ILLEGAL Immigration... he enforces the laws on the books! @Clevrgurl	CAMI 	xoCAMILLAxo
383261193055383554	967033308	Thu Sep 26 16:06:03 +0000 2013	383260736916426752	1134704112	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Excuse me but Im well informed! This is political!  The Leftist media portrays him as a racist for doing his job! @Clevrgurl	CAMI 	xoCAMILLAxo
383274853924495361	967033308	Thu Sep 26 17:00:20 +0000 2013	383270552820920321	44295593	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	John McCain IS NOT for Limited Govt!  @JedZiggler	CAMI 	xoCAMILLAxo
383291559778594820	604607829	Thu Sep 26 18:06:43 +0000 2013	383288907716390912	24675155	web	false		#GirlsLikeUs 	@MissCassHoskins Sorry to hear that :( Do you know from which school/ college etc they were from? If so I'd report them,	Lisa Quinn	lisaquinn345
383296727257595904	967033308	Thu Sep 26 18:27:15 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	We go to Mexico (legally) for vacation every year... I get pulled over at least once everytime I am there.  profiling? @Clevrgurl	CAMI 	xoCAMILLAxo
383298144727232514	19395472	Thu Sep 26 18:32:53 +0000 2013			<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	false			RT @ItsMsJaneDoe: Clockwise from top left, my first 18 months of social/medical transition. #girlslikeus http://t.co/8i9kIrrgNE	Fighty McGirldude	whedonworship
383299113535545344	3445071	Thu Sep 26 18:36:44 +0000 2013	383295079555039232	117785031	web	false		New York, NY	@CarolynDreamSt Tho I *LOVE* #GirlsLikeUs (&amp; @transalt better, too), just a heads-up this is Transportation Alternatives, not #trans. ;)	Chris Tuttle	christuttle
383299541594038272	20123698	Thu Sep 26 18:38:26 +0000 2013			<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>	false		Cambridge, UK	RT @danaequality: #dearterfs really? #girlslikeus #femnist no, really? You believe that? http://t.co/n6xXZ4L0Rc	M	fp_em
383308814939717632	967033308	Thu Sep 26 19:15:17 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Pulled over once in Puerto Penasco, once on the way to Puerto Penasco &amp; twice in Cabo!  chris_do_algarv @marilynkj @Clevrgurl	CAMI 	xoCAMILLAxo
383331711591141377	87222407	Thu Sep 26 20:46:16 +0000 2013	383298687260037120	1390065889	<a href="http://www.myplume.com/" rel="nofollow">Plume for Android</a>	false			@ItsMsJaneDoe @danaequality #dearterfs really? #girlslikeus #femnist no, really? You believe that? http://t.co/0SzyxkRnBQ Brennan's Logic	Grace F. B.	graceoflarkspur
383363265406840832	175533539	Thu Sep 26 22:51:39 +0000 2013			<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>	false		Phoenix, Arizona	RT @SRLP: SRLP's @ReinaGossett talks media with @LaverneCox, @KyeAllums and Tiq Milan! http://t.co/4yJCjWzshA #NOItrans #trans #girlslikeus	This Is H.O.W.	TIHHouse
